time,tps,cpuusage,memoryused,memorytotal,memoryfree,pingaverage,pingmedian,pingmin,pingmax,playeronline,playermax
1677079413155,20,0,497,1024,522,0,0,0,0,0,20
1677079461389,20,0,719,1024,304,0,0,0,0,0,20
1677079473141,20,0,774,1024,249,0,0,0,0,0,20
1677079521395,20,0,562,1024,461,0,0,0,0,0,20
1677079533135,20,0,613,1024,410,0,0,0,0,0,20
1677079581388,20,0,843,1024,180,0,0,0,0,0,20
1677079593134,20,0,453,1024,570,0,0,0,0,0,20
1677089347448,20,0,606,1704,1097,0,0,0,0,0,20
1677089371739,20,0.01,1195,1704,507,0,0,0,0,0,20
1677089371772,20,0,1206,1704,497,0,0,0,0,0,20
1677089407437,20,0,443,1704,1260,0,0,0,0,0,20
1677089431726,20,0,502,1704,1201,0,0,0,0,0,20
1677089431770,20,0,503,1704,1200,0,0,0,0,0,20
1677089467434,20,0,595,1704,1108,0,0,0,0,0,20
1677089491727,20,0,658,1704,1045,0,0,0,0,0,20
1677089491773,19,0,659,1704,1044,0,0,0,0,0,20
1677089527436,20,0,754,1704,949,0,0,0,0,0,20
1677089551728,20,0,813,1704,890,0,0,0,0,0,20
1677089551772,20,0,820,1704,883,0,0,0,0,0,20
1677089587442,20,0,1022,1704,681,0,0,0,0,0,20
1677089611729,20,0,1083,1704,620,0,0,0,0,0,20
1677089611772,19,0,1084,1704,619,0,0,0,0,0,20
1677089773923,20,0,414,680,265,0,0,0,0,0,20
1677089833906,20,0.01,986,1392,405,0,0,0,0,0,20
1677089893907,20,0,1115,1392,276,0,0,0,0,0,20
1677089953911,20,0,463,1392,927,0,0,0,0,0,20
1677090000466,20,0,404,752,346,0,0,0,0,0,20
1677090060447,20,0.01,767,1120,351,0,0,0,0,0,20
1677090085346,20,0,585,1120,534,0,0,0,0,0,20
1677090145343,20.28,0,714,1120,405,0,0,0,0,0,20
1677090205344,20,0,442,1120,677,0,0,0,0,0,20
1677090265345,20,0,581,1120,538,0,0,0,0,0,20
